                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                  1.988,                  1.923,                 2.0527,                0.28105,                0.39852,                0.29171,                0.11342,                 2.1466,                 2.0367,                 2.3774,             6.5246e-05,             6.5246e-05,             6.5246e-05
                     76,                 1.9933,                 1.9142,                 2.0612,                0.30239,                0.38455,                0.29878,                0.11365,                 2.1599,                 2.0301,                 2.3772,              6.283e-05,              6.283e-05,              6.283e-05
                     77,                  1.978,                 1.9362,                 2.0715,                0.29126,                0.40542,                0.29894,                0.11452,                 2.1534,                 2.0357,                 2.3784,             6.0414e-05,             6.0414e-05,             6.0414e-05
                     78,                  1.972,                 1.9108,                 2.0527,                0.29633,                 0.4022,                0.29611,                0.11565,                 2.1616,                 2.0399,                 2.3801,             5.7999e-05,             5.7999e-05,             5.7999e-05
                     79,                 1.9827,                 1.9109,                 2.0493,                0.30498,                0.39752,                0.30388,                0.11623,                 2.1386,                 2.0481,                  2.373,             5.5583e-05,             5.5583e-05,             5.5583e-05
                     80,                 1.9749,                 1.9026,                  2.045,                 0.2586,                0.43277,                0.29853,                0.11031,                 2.1536,                 2.0287,                 2.3822,             5.3168e-05,             5.3168e-05,             5.3168e-05
                     81,                 1.9842,                 1.9033,                 2.0513,                0.29153,                0.42626,                0.31125,                0.11692,                 2.1482,                 2.0349,                 2.3809,             5.0752e-05,             5.0752e-05,             5.0752e-05
                     82,                 1.9787,                 1.9019,                 2.0376,                0.30409,                0.40117,                0.30618,                0.11747,                 2.1488,                 2.0274,                 2.3679,             4.8336e-05,             4.8336e-05,             4.8336e-05
                     83,                 1.9726,                  1.897,                 2.0374,                0.26843,                0.41767,                0.30365,                0.11814,                  2.131,                 2.0246,                 2.3695,             4.5921e-05,             4.5921e-05,             4.5921e-05
                     84,                 1.9669,                 1.8896,                 2.0331,                0.26543,                0.41213,                0.30129,                0.11788,                   2.13,                 2.0165,                  2.363,             4.3505e-05,             4.3505e-05,             4.3505e-05
                     85,                 1.9707,                 1.8938,                 2.0348,                 0.2715,                0.41294,                0.29844,                0.11534,                 2.1353,                 2.0238,                 2.3691,              4.109e-05,              4.109e-05,              4.109e-05
                     86,                 1.9602,                  1.895,                 2.0297,                0.28279,                0.39364,                0.30145,                0.11628,                 2.1347,                  2.017,                 2.3688,             3.8674e-05,             3.8674e-05,             3.8674e-05
                     87,                 1.9422,                  1.891,                 2.0361,                0.27633,                0.44788,                0.30823,                0.12278,                 2.1188,                 2.0131,                 2.3596,             3.6258e-05,             3.6258e-05,             3.6258e-05
                     88,                 1.9486,                 1.8805,                  2.017,                0.30523,                0.41168,                0.30743,                0.12175,                 2.1166,                 2.0213,                 2.3603,             3.3843e-05,             3.3843e-05,             3.3843e-05
                     89,                 1.9396,                 1.8805,                 2.0206,                0.30639,                0.39381,                0.30054,                0.11958,                 2.1292,                  2.022,                   2.37,             3.1427e-05,             3.1427e-05,             3.1427e-05
                     90,                 1.9465,                 1.8813,                 2.0232,                0.30035,                0.42165,                0.31214,                0.12168,                 2.1312,                 2.0191,                  2.373,             2.9012e-05,             2.9012e-05,             2.9012e-05
                     91,                 1.9054,                 1.9017,                 2.0958,                0.32884,                0.40942,                0.30678,                0.11516,                 2.1369,                  2.016,                 2.3709,             2.6596e-05,             2.6596e-05,             2.6596e-05
                     92,                 1.8678,                 1.8669,                 2.0701,                0.30956,                0.40509,                0.30717,                0.11835,                 2.1378,                 2.0331,                 2.3698,              2.418e-05,              2.418e-05,              2.418e-05
                     93,                 1.8639,                 1.8437,                 2.0481,                0.26824,                0.43095,                 0.3142,                0.12237,                 2.1335,                  2.017,                 2.3693,             2.1765e-05,             2.1765e-05,             2.1765e-05
                     94,                 1.8494,                 1.8414,                 2.0471,                0.28114,                0.42213,                0.31695,                0.12244,                 2.1303,                 2.0152,                 2.3724,             1.9349e-05,             1.9349e-05,             1.9349e-05
                     95,                 1.8556,                 1.8384,                 2.0452,                0.29655,                0.40754,                0.31717,                0.12424,                 2.1259,                 2.0119,                 2.3657,             1.6934e-05,             1.6934e-05,             1.6934e-05
                     96,                 1.8419,                 1.8314,                 2.0486,                0.28297,                0.40635,                0.32188,                0.12375,                 2.1255,                 2.0062,                 2.3649,             1.4518e-05,             1.4518e-05,             1.4518e-05
                     97,                 1.8369,                 1.8191,                 2.0348,                0.27339,                0.42353,                0.32159,                0.12388,                 2.1245,                 2.0111,                 2.3672,             1.2102e-05,             1.2102e-05,             1.2102e-05
                     98,                 1.8394,                 1.8237,                  2.041,                0.29009,                 0.4267,                0.31734,                0.12415,                 2.1194,                 2.0047,                  2.365,             9.6868e-06,             9.6868e-06,             9.6868e-06
                     99,                 1.8275,                 1.8121,                 2.0293,                 0.2842,                0.42447,                0.31574,                0.12287,                 2.1239,                 2.0071,                 2.3647,             7.2712e-06,             7.2712e-06,             7.2712e-06
                    100,                 1.8227,                 1.8186,                 2.0364,                0.27751,                0.43335,                0.31714,                0.12361,                 2.1235,                 2.0074,                  2.366,             4.8556e-06,             4.8556e-06,             4.8556e-06
